Order ID,Order Date,Region,Category,Sub-Category,Segment,Sales,Quantity,Discount,Profit
CA-2023-1044,2023-01-01,South,Technology,Machines,Home Office,1156.66,5,0.0,248.05
CA-2023-1210,2023-01-04,South,Office Supplies,Binders,Corporate,388.99,4,0.1,53.77
CA-2023-1408,2023-01-06,West,Technology,Accessories,Consumer,3273.65,10,0.1,235.74
CA-2023-1203,2023-01-07,Central,Technology,Copiers,Consumer,1185.48,5,0.05,178.28
CA-2023-1493,2023-01-07,East,Furniture,Chairs,Corporate,1287.26,5,0.0,435.96
CA-2023-1252,2023-01-11,South,Furniture,Bookcases,Consumer,946.85,2,0.0,272.25
CA-2023-1242,2023-01-13,Central,Office Supplies,Appliances,Corporate,646.76,5,0.05,175.3
CA-2023-1104,2023-01-15,West,Furniture,Bookcases,Corporate,1279.32,5,0.1,105.46
CA-2023-1156,2023-01-17,Central,Technology,Copiers,Corporate,617.49,6,0.2,-42.77
CA-2023-1215,2023-01-17,South,Technology,Phones,Home Office,513.8,4,0.0,146.13
CA-2023-1152,2023-01-20,West,Furniture,Furnishings,Consumer,1872.01,5,0.0,478.4
CA-2023-1015,2023-01-20,Central,Office Supplies,Binders,Corporate,106.1,2,0.0,17.14
CA-2023-1473,2023-02-02,South,Furniture,Bookcases,Home Office,3454.93,6,0.0,1054.2
CA-2023-1019,2023-02-02,East,Office Supplies,Binders,Consumer,467.75,6,0.0,120.61
CA-2023-1228,2023-02-04,West,Furniture,Tables,Home Office,771.47,2,0.2,60.57
CA-2023-1351,2023-02-06,South,Furniture,Furnishings,Home Office,4318.06,10,0.15,486.53
CA-2023-1082,2023-02-07,South,Furniture,Bookcases,Home Office,2093.1,8,0.0,483.16
CA-2023-1159,2023-02-07,South,Furniture,Furnishings,Corporate,1961.68,4,0.0,424.48
CA-2023-1315,2023-02-08,East,Furniture,Bookcases,Corporate,418.81,2,0.0,62.88
CA-2023-1136,2023-02-08,South,Technology,Machines,Corporate,678.82,1,0.0,217.94
CA-2023-1185,2023-02-09,West,Technology,Copiers,Consumer,815.46,3,0.15,74.41
CA-2023-1367,2023-02-10,Central,Furniture,Furnishings,Consumer,3797.07,9,0.05,519.82
CA-2023-1488,2023-02-11,Central,Office Supplies,Binders,Home Office,231.17,2,0.2,-16.32
CA-2023-1080,2023-02-11,Central,Office Supplies,Binders,Home Office,139.48,3,0.05,40.36
CA-2023-1498,2023-02-12,Central,Furniture,Chairs,Home Office,1422.45,6,0.1,86.26
CA-2023-1234,2023-02-13,West,Furniture,Bookcases,Home Office,1784.58,4,0.0,364.45
CA-2023-1401,2023-02-14,South,Office Supplies,Appliances,Corporate,606.69,5,0.15,2.11
CA-2023-1114,2023-02-14,East,Technology,Copiers,Home Office,3688.12,9,0.0,906.53
CA-2023-1419,2023-02-17,South,Furniture,Furnishings,Corporate,384.09,1,0.15,52.21
CA-2023-1125,2023-02-20,East,Technology,Accessories,Home Office,798.08,2,0.0,185.82
CA-2023-1056,2023-02-21,South,Furniture,Tables,Consumer,1554.91,5,0.05,413.49
CA-2023-1148,2023-02-23,East,Technology,Accessories,Corporate,2222.55,8,0.2,29.3
CA-2023-1326,2023-02-24,South,Office Supplies,Paper,Consumer,215.22,2,0.0,63.36
CA-2023-1150,2023-02-24,West,Furniture,Bookcases,Corporate,1846.42,7,0.1,138.31
CA-2023-1083,2023-02-25,South,Office Supplies,Binders,Corporate,351.21,4,0.1,63.92
CA-2023-1163,2023-02-28,Central,Furniture,Furnishings,Home Office,478.81,2,0.15,50.7
CA-2023-1025,2023-03-01,Central,Technology,Accessories,Consumer,3998.23,10,0.15,347.19
CA-2023-1220,2023-03-01,East,Technology,Machines,Corporate,6641.69,9,0.05,920.35
CA-2023-1198,2023-03-02,Central,Furniture,Bookcases,Home Office,624.88,2,0.15,98.31
CA-2023-1177,2023-03-03,West,Furniture,Furnishings,Home Office,946.83,3,0.05,112.42
CA-2023-1052,2023-03-05,South,Furniture,Bookcases,Corporate,1767.74,4,0.2,86.8
CA-2023-1158,2023-03-06,East,Office Supplies,Art,Consumer,303.41,8,0.0,48.05
CA-2023-1168,2023-03-08,Central,Technology,Machines,Home Office,2341.39,9,0.1,402.51
CA-2023-1402,2023-03-09,West,Office Supplies,Appliances,Home Office,360.25,4,0.15,49.4
CA-2023-1335,2023-03-10,Central,Office Supplies,Paper,Corporate,246.86,2,0.05,47.88
CA-2023-1255,2023-03-10,South,Technology,Copiers,Corporate,3316.67,5,0.0,927.32
CA-2023-1135,2023-03-11,East,Office Supplies,Storage,Corporate,705.27,8,0.05,113.12
CA-2023-1322,2023-03-11,East,Furniture,Tables,Home Office,2761.24,6,0.0,656.19
CA-2023-1042,2023-03-13,Central,Office Supplies,Paper,Corporate,598.13,6,0.1,53.87
CA-2023-1278,2023-03-14,East,Technology,Copiers,Corporate,548.41,4,0.05,89.67
CA-2023-1324,2023-03-17,East,Office Supplies,Paper,Corporate,24.66,1,0.0,5.38
CA-2023-1005,2023-03-22,West,Office Supplies,Art,Corporate,1175.75,9,0.0,312.13
CA-2023-1051,2023-03-24,Central,Furniture,Bookcases,Home Office,1340.92,3,0.0,218.36
CA-2023-1027,2023-03-25,West,Technology,Accessories,Home Office,2976.45,7,0.15,32.3
CA-2023-1075,2023-03-25,Central,Technology,Accessories,Home Office,615.44,3,0.0,147.77
CA-2023-1175,2023-03-25,West,Office Supplies,Storage,Consumer,33.59,1,0.15,2.84
CA-2023-1295,2023-03-30,Central,Furniture,Bookcases,Corporate,1712.87,9,0.05,258.27
CA-2023-1328,2023-03-31,West,Technology,Machines,Corporate,2226.62,5,0.2,-188.94
CA-2023-1358,2023-04-01,East,Technology,Accessories,Corporate,1059.13,3,0.1,132.9
CA-2023-1002,2023-04-06,West,Office Supplies,Art,Consumer,151.35,4,0.0,42.37
CA-2023-1067,2023-04-06,South,Office Supplies,Art,Consumer,514.77,5,0.0,115.21
CA-2023-1325,2023-04-06,West,Furniture,Tables,Home Office,2951.71,6,0.1,343.18
CA-2023-1231,2023-04-09,East,Technology,Copiers,Consumer,2281.48,9,0.0,503.95
CA-2023-1184,2023-04-10,West,Office Supplies,Appliances,Consumer,990.17,7,0.0,298.03
